respondent_id,persona_label,age_group,city_tier,business_type,business_age,annual_turnover,decision_authority,adoption_cycle,payment_methods,monthly_payment_vol,cash_flow_crisis_freq,has_credit_card,working_capital_crisis,pays_vendor_pay,pays_gst_tax,pays_rent,pays_utility,pays_salary,pays_saas_sub,pays_insurance,pays_loan_emi,num_payment_types,tried_Razorpay_PayU,tried_BharatPe,tried_Instamojo,tried_Bank_netbanking,tried_NBFC_apps,tried_None,switching_trigger,biggest_concern,fraud_experience,bad_fintech_exp,rbi_importance,digital_comfort,onboarding_pref,vendor_pay_usefulness,settlement_pref,max_fee_tolerance,feat_reconciliation,feat_analytics,feat_virtual_cards,feat_gst_filing,feat_invoice_finance,feat_payroll_bridge,fx_interest,credit_card_limit,saas_budget,gst_importance,accounting_software,tool_CRM,tool_Cloud_storage,tool_HR_payroll,tool_Project_mgmt,tool_Accounting_sw,tool_None,peer_network_size,social_influence_score,pain_point,cash_pressure_months,festival_spike,bc1_fee_tradeoff,bc2_disqualifier,adoption_intent
R0012,P1_TechFounder,26-35,Metro,IT/Software,3-7yr,25L-1Cr,Owner alone,2-4weeks,UPI,5L-25L,Rarely,Yes_personal,Ongoing,1,1,1,1,0,1,0,1,6,0,0,0,1,0,0,All_in_one,No_concerns,Prefer_not_say,Yes_open,4.0,Cautious,Self_tutorial,2,T+3,2-2.5pct,4,4,3,5,3,3,No_domestic,5L-15L,500-1500,3,CA_manages,1,0,1,1,1,0,6-20,4,Manual_reconciliation,Consistent,Yes_slightly,Instant_2.5pct,No_only_situational,3
R0013,P1_TechFounder,26-35,Tier3,IT/Software,1-3yr,25L-1Cr,With CA,2-4weeks,UPI,>25L,Sometimes,Yes_corporate,Yes_manageable,1,1,1,1,0,0,1,0,5,1,0,1,1,0,0,Better_integration,CA_wont_approve,No,No_bad_exp,4.0,Very_comfortable,Self_tutorial,4,Same_day,>2.5pct,3,5,4,4,4,3,Maybe_future,>15L,Nothing,5,Busy_Marg,0,1,0,0,1,0,6-20,4,High_bank_charges,No_pattern,Decreases,Instant_2.5pct,Yes_need_float,3
R0014,P1_TechFounder,36-45,Metro,Consulting,7+yr,1Cr-5Cr,Owner alone,<1week,NEFT/RTGS,5L-25L,Sometimes,Yes_corporate,Yes_manageable,1,1,0,1,1,1,0,1,6,1,1,1,1,0,0,Better_integration,Not_RBI_regulated,No,Yes_very_cautious,4.0,Very_comfortable,CA_setup,3,Next_day,1-1.5pct,4,4,3,4,3,4,No_domestic,1L-5L,<500,1,Zoho_QB,0,1,0,1,1,0,1-5,4,Cashflow_timing,Jan-Mar,No_change,Classic_1pct,Probably_yes,2
R0015,P1_TechFounder,36-45,Metro,Real Estate,1-3yr,1Cr-5Cr,With CA,<1week,UPI,1L-5L,Sometimes,Yes_corporate,Yes_manageable,1,1,1,1,1,1,0,0,6,0,0,0,1,0,0,Lower_fee,Data_security,Yes_minor,Yes_very_cautious,2.0,Comfortable,Self_tutorial,5,T+3,1.5-2pct,4,3,3,5,2,5,Maybe_future,5L-15L,500-1500,5,Excel,1,0,0,0,0,0,None,3,Card_not_accepted,Oct-Dec,Yes_slightly,Instant_2.5pct,Maybe,3
R0016,P1_TechFounder,26-35,Metro,Real Estate,<1yr,>5Cr,Owner alone,2-4weeks,UPI,5L-25L,Sometimes,No_planning,Yes_manageable,1,1,0,0,1,1,0,1,5,0,0,0,1,1,0,Better_support,,No,Yes_open,3.0,Very_comfortable,Self_tutorial,5,Same_day,2-2.5pct,5,4,4,4,4,2,Yes_intl_vendors,5L-15L,1500-3000,3,Excel,1,1,0,1,1,0,1-5,5,GST_complex,Oct-Dec,Yes_slightly,Instant_2.5pct,Probably_yes,1
R0017,P1_TechFounder,46-55,Metro,Other SME,1-3yr,25L-1Cr,Owner alone,1-3months,Credit Card,>25L,Sometimes,Yes_personal,No_stable,1,1,1,0,0,1,0,0,4,1,0,0,1,0,0,All_in_one,No_concerns,No,No_bad_exp,5.0,Comfortable,Self_tutorial,5,Same_day,2-2.5pct,4,4,4,4,5,3,Yes_intl_vendors,1L-5L,500-1500,5,Zoho_QB,0,0,0,1,1,0,None,5,Card_not_accepted,No_pattern,No_change,Classic_1pct,Probably_yes,3
R0018,P1_TechFounder,26-35,Metro,IT/Software,7+yr,>5Cr,With CA,2-4weeks,UPI,>25L,Rarely,Yes_corporate,Yes_manageable,1,1,1,1,1,0,0,0,5,0,1,0,0,1,0,All_in_one,No_concerns,No,No_bad_exp,2.0,Not_comfortable,Self_tutorial,5,Next_day,2-2.5pct,3,4,3,4,4,3,Maybe_future,1L-5L,>3000,5,Busy_Marg,0,1,1,0,1,0,6-20,3,Manual_reconciliation,Oct-Dec,No_change,Instant_2.5pct,Yes_need_float,3
R0019,P1_TechFounder,26-35,Metro,Consulting,7+yr,>5Cr,Partner,2-4weeks,Cheque,1L-5L,Rarely,Yes_corporate,Yes_manageable,1,1,1,1,0,1,0,0,5,1,0,0,1,0,0,Better_integration,No_concerns,No,No_bad_exp,5.0,Comfortable,WhatsApp_chat,5,Lowest_fee,2-2.5pct,5,5,4,4,4,3,Yes_intl_vendors,>15L,1500-3000,4,Tally,1,1,0,0,1,0,6-20,5,Cashflow_timing,Consistent,No_change,Classic_1pct,Yes_need_float,2
R0020,P1_TechFounder,46-55,Metro,Consulting,3-7yr,25L-1Cr,Owner alone,2-4weeks,NEFT/RTGS,5L-25L,Rarely,Yes_personal,Yes_severe,0,0,0,1,1,1,1,1,5,1,0,0,1,0,0,NA,,No,Yes_open,4.0,Comfortable,Self_tutorial,3,Next_day,2-2.5pct,4,3,4,5,3,5,Yes_intl_vendors,No_card,500-1500,5,Zoho_QB,1,1,0,1,0,0,20+,3,GST_complex,Consistent,No_change,Classic_1pct,Maybe,3
R0021,P1_TechFounder,26-35,Metro,Consulting,3-7yr,>5Cr,Owner alone,<1week,NEFT/RTGS,5L-25L,Rarely,Yes_corporate,Ongoing,1,1,1,0,1,1,1,1,7,1,0,0,1,0,0,All_in_one,,No,Yes_open,3.0,Not_comfortable,Self_tutorial,4,Next_day,2-2.5pct,4,4,4,2,3,3,Yes_intl_vendors,1L-5L,500-1500,2,Zoho_QB,0,0,1,1,1,0,6-20,2,No_single_view,Jan-Mar,No_change,Classic_1pct,No_only_situational,3
R0022,P1_TechFounder,36-45,Metro,Consulting,<1yr,>5Cr,Owner alone,1-3months,UPI,5L-25L,Sometimes,Yes_personal,Yes_severe,1,1,1,0,1,0,1,1,6,0,0,0,1,0,0,NA,No_concerns,No,Yes_open,4.0,Very_comfortable,Self_tutorial,4,Next_day,>2.5pct,5,5,2,3,2,5,No_domestic,5L-15L,>3000,5,Zoho_QB,1,1,0,1,1,0,6-20,3,High_bank_charges,Consistent,Yes_slightly,Instant_2.5pct,No_only_situational,2
R0023,P1_TechFounder,36-45,Metro,IT/Software,7+yr,1Cr-5Cr,Owner alone,<1week,Cheque,1L-5L,Rarely,No_no_need,Yes_manageable,1,1,0,1,0,1,1,1,6,1,0,0,0,0,0,Bank_trust,CA_wont_approve,Yes_minor,Yes_open,1.0,Comfortable,WhatsApp_chat,4,Same_day,>2.5pct,5,4,4,4,3,4,Maybe_future,>15L,Nothing,2,Zoho_QB,0,1,0,1,1,0,20+,1,No_single_view,Oct-Dec,No_change,Instant_2.5pct,Probably_yes,2
R0024,P1_TechFounder,36-45,Metro,Real Estate,1-3yr,1Cr-5Cr,Owner alone,2-4weeks,Mixed,1L-5L,Sometimes,Yes_personal,No_stable,1,1,0,0,0,1,0,0,3,0,1,0,1,0,0,Better_support,Not_RBI_regulated,No,Yes_open,4.0,Not_comfortable,Self_tutorial,5,Next_day,>2.5pct,4,5,4,4,2,3,No_domestic,>15L,1500-3000,5,Zoho_QB,0,1,0,1,1,0,1-5,5,Manual_reconciliation,Jul-Sep,Yes_slightly,Instant_2.5pct,Yes_need_float,0
R0025,P1_TechFounder,26-35,Metro,Consulting,3-7yr,1Cr-5Cr,Partner,2-4weeks,UPI,>25L,Rarely,Yes_corporate,Yes_manageable,1,1,1,0,0,1,0,1,5,1,1,0,0,0,0,Lower_fee,No_concerns,No,Yes_open,3.0,Very_comfortable,Self_tutorial,4,T+3,No_fee,5,3,3,5,3,4,Yes_intl_vendors,5L-15L,<500,4,Excel,1,1,1,0,1,0,6-20,2,Card_not_accepted,No_pattern,No_change,Classic_1pct,No_only_situational,0
R0026,P1_TechFounder,26-35,Metro,IT/Software,7+yr,>5Cr,Owner alone,<1week,Cash,5L-25L,Sometimes,Yes_personal,No_stable,1,1,1,1,1,1,0,1,7,1,1,0,1,0,0,Better_integration,Hidden_charges,No,No_exp,2.0,Comfortable,Self_tutorial,4,T+3,2-2.5pct,4,4,3,5,3,3,Maybe_future,1L-5L,500-1500,2,Excel,1,1,0,0,1,0,1-5,4,No_single_view,Oct-Dec,No_change,Classic_1pct,Probably_yes,1
R0027,P1_TechFounder,26-35,Tier2,IT/Software,3-7yr,25L-1Cr,Owner alone,<1week,UPI,>25L,Rarely,Yes_personal,No_stable,0,1,1,1,0,0,0,0,3,1,0,1,0,1,0,All_in_one,CA_wont_approve,Yes_significant,No_bad_exp,3.0,Very_comfortable,Self_tutorial,5,Next_day,1.5-2pct,3,2,4,5,3,4,Not_applicable,>15L,500-1500,5,Tally,0,1,0,0,0,0,1-5,2,Manual_reconciliation,Jan-Mar,No_change,Instant_2.5pct,No_only_situational,2
R0028,P1_TechFounder,36-45,Metro,Consulting,7+yr,1Cr-5Cr,With CA,2-4weeks,NEFT/RTGS,5L-25L,Rarely,Yes_corporate,Yes_manageable,1,1,1,0,1,0,0,0,4,1,0,1,1,0,0,Better_support,Data_security,Yes_minor,No_bad_exp,3.0,Very_comfortable,CA_setup,2,Next_day,No_fee,4,4,4,4,4,3,Yes_intl_vendors,5L-15L,>3000,5,Excel,1,1,0,1,1,0,1-5,3,Manual_reconciliation,Jul-Sep,No_change,Classic_1pct,Maybe,1
R0029,P1_TechFounder,26-35,Tier1,Real Estate,1-3yr,>5Cr,Owner alone,2-4weeks,UPI,<1L,Rarely,No_no_need,No_stable,0,1,1,1,1,0,1,0,5,1,0,0,1,0,0,Better_integration,No_concerns,No,No_exp,4.0,Very_comfortable,WhatsApp_chat,4,Lowest_fee,>2.5pct,5,4,4,4,5,5,Yes_intl_vendors,5L-15L,<500,4,Zoho_QB,0,1,1,0,1,0,None,5,High_bank_charges,Apr-Jun,Yes_slightly,Instant_2.5pct,Maybe,3
R0030,P1_TechFounder,26-35,Tier2,IT/Software,3-7yr,>5Cr,Owner alone,<1week,NEFT/RTGS,>25L,Rarely,Yes_personal,No_stable,1,1,1,1,0,1,0,1,6,0,0,0,0,0,0,Better_support,No_concerns,No,Yes_open,3.0,Cautious,Self_tutorial,4,Next_day,2-2.5pct,5,4,3,4,4,4,No_domestic,1L-5L,1500-3000,5,CA_manages,0,1,0,1,0,0,6-20,4,Cashflow_timing,Oct-Dec,Decreases,Classic_1pct,Yes_need_float,1
R0031,P1_TechFounder,26-35,Tier1,Consulting,1-3yr,1Cr-5Cr,Partner,2-4weeks,UPI,5L-25L,Sometimes,Yes_corporate,No_stable,1,0,1,0,1,1,1,1,6,0,0,1,1,0,0,Bank_trust,CA_wont_approve,No,Yes_open,3.0,Comfortable,WhatsApp_chat,1,T+3,1-1.5pct,4,5,4,4,3,3,Yes_intl_vendors,>15L,>3000,3,Zoho_QB,0,0,0,1,1,0,None,4,Manual_reconciliation,Consistent,Yes_significant,Instant_2.5pct,Probably_yes,2
R0032,P1_TechFounder,18-25,Metro,IT/Software,3-7yr,1Cr-5Cr,With CA,1-3months,UPI,>25L,Rarely,Yes_corporate,Yes_severe,1,1,0,0,1,1,1,0,5,1,1,0,1,0,0,All_in_one,Platform_shutdown,No,No_bad_exp,4.0,Very_comfortable,Self_tutorial,5,Same_day,2-2.5pct,3,4,3,3,3,4,Maybe_future,1L-5L,>3000,3,Zoho_QB,0,0,1,0,1,0,1-5,2,High_bank_charges,Jul-Sep,Yes_slightly,Classic_1pct,Maybe,2
R0033,P1_TechFounder,26-35,Metro,IT/Software,3-7yr,>5Cr,Owner alone,<1week,UPI,5L-25L,Rarely,No_planning,Yes_manageable,1,1,1,0,1,1,1,1,7,0,1,0,1,0,0,Lower_fee,Platform_shutdown,Prefer_not_say,No_bad_exp,5.0,Very_comfortable,Self_tutorial,4,T+3,No_fee,5,3,4,3,4,4,No_domestic,1L-5L,<500,3,Zoho_QB,1,0,0,1,1,0,6-20,2,High_bank_charges,Oct-Dec,Yes_significant,Instant_2.5pct,Probably_yes,2
R0034,P1_TechFounder,46-55,Tier1,IT/Software,3-7yr,1Cr-5Cr,With CA,2-4weeks,NEFT/RTGS,5L-25L,Sometimes,Yes_personal,Yes_severe,1,1,1,1,1,1,0,1,7,0,0,0,1,0,0,All_in_one,Data_security,Yes_minor,No_bad_exp,5.0,Very_comfortable,Self_tutorial,3,Next_day,>2.5pct,5,4,2,4,4,5,No_domestic,>15L,500-1500,5,Zoho_QB,1,1,0,1,0,0,1-5,5,Cashflow_timing,Apr-Jun,Yes_slightly,Classic_1pct,Maybe,2
R0035,P1_TechFounder,26-35,Tier3,IT/Software,7+yr,>5Cr,Owner alone,>3months,UPI,>25L,Sometimes,Yes_personal,Yes_manageable,0,1,1,1,1,1,0,0,5,1,0,1,0,0,0,Better_support,Not_RBI_regulated,No,No_bad_exp,3.0,Very_comfortable,Self_tutorial,5,Same_day,1.5-2pct,5,4,4,4,3,3,Maybe_future,5L-15L,1500-3000,4,Zoho_QB,0,1,0,0,1,0,1-5,4,Cashflow_timing,Jan-Mar,No_change,Instant_2.5pct,Maybe,2
R0036,P1_TechFounder,36-45,Tier1,IT/Software,1-3yr,25L-1Cr,Owner alone,<1week,Credit Card,>25L,Frequently,Yes_personal,No_stable,1,1,0,1,1,1,0,0,5,0,0,0,0,1,0,Lower_fee,CA_wont_approve,No,No_bad_exp,5.0,Very_comfortable,Inperson_visit,5,T+3,<1pct,5,4,4,4,4,3,Maybe_future,1L-5L,500-1500,1,No_system,1,1,1,1,0,1,20+,5,High_bank_charges,Oct-Dec,No_change,Instant_2.5pct,Yes_need_float,2
R0037,P1_TechFounder,36-45,Metro,IT/Software,7+yr,>5Cr,Owner alone,<1week,Mixed,5L-25L,Never,Yes_corporate,No_stable,1,0,0,1,1,1,1,0,5,0,0,0,1,0,0,Bank_trust,CA_wont_approve,Yes_minor,No_bad_exp,2.0,Very_comfortable,Self_tutorial,5,Lowest_fee,2-2.5pct,4,5,3,4,3,3,Maybe_future,<1L,<500,3,No_system,1,1,1,0,1,0,6-20,1,Cashflow_timing,Apr-Jun,Yes_significant,Instant_2.5pct,Yes_need_float,3
R0038,P1_TechFounder,26-35,Metro,IT/Software,7+yr,1Cr-5Cr,Owner alone,2-4weeks,NEFT/RTGS,5L-25L,Sometimes,No_planning,Ongoing,1,0,1,1,1,1,0,0,5,0,0,0,0,0,0,Lower_fee,Platform_shutdown,Yes_minor,No_bad_exp,2.0,Comfortable,WhatsApp_chat,3,Same_day,2-2.5pct,3,4,5,4,4,4,No_domestic,5L-15L,500-1500,4,Tally,0,0,0,0,0,0,20+,2,Card_not_accepted,Jan-Mar,Yes_significant,Instant_2.5pct,Yes_need_float,2
R0039,P1_TechFounder,26-35,Metro,IT/Software,3-7yr,1Cr-5Cr,With CA,2-4weeks,Mixed,5L-25L,Rarely,Yes_personal,Yes_manageable,1,1,1,0,0,0,0,0,3,1,0,0,1,0,0,Better_integration,Data_security,No,Yes_open,5.0,Very_comfortable,Self_tutorial,2,Next_day,2-2.5pct,4,4,2,3,4,5,Maybe_future,1L-5L,>3000,4,Excel,1,1,1,1,0,0,None,2,Manual_reconciliation,Jan-Mar,Yes_significant,Classic_1pct,Probably_yes,2
R0040,P1_TechFounder,36-45,Metro,Other SME,1-3yr,>5Cr,With CA,1-3months,Mixed,5L-25L,Frequently,Yes_corporate,Yes_manageable,1,1,1,1,1,1,0,0,6,1,0,1,1,0,0,NA,Hidden_charges,No,No_bad_exp,2.0,Very_comfortable,WhatsApp_chat,4,Next_day,No_fee,4,5,5,5,3,3,Yes_intl_vendors,5L-15L,500-1500,3,Busy_Marg,0,1,0,0,1,0,1-5,5,Manual_reconciliation,Consistent,Decreases,Instant_2.5pct,Probably_yes,3
R0041,P1_TechFounder,26-35,Tier1,IT/Software,1-3yr,25L-1Cr,Owner alone,2-4weeks,UPI,5L-25L,Rarely,Yes_personal,No_stable,0,1,0,0,1,0,1,1,4,0,0,0,0,1,0,Better_integration,Hidden_charges,No,No_exp,1.0,Very_comfortable,WhatsApp_chat,5,Next_day,1.5-2pct,3,3,3,5,4,4,Yes_intl_vendors,<1L,1500-3000,5,Excel,1,1,0,0,0,0,6-20,2,Card_not_accepted,Jan-Mar,Yes_slightly,Instant_2.5pct,Yes_need_float,2
R0042,P1_TechFounder,26-35,Tier1,Consulting,<1yr,>5Cr,Owner alone,<1week,NEFT/RTGS,5L-25L,Sometimes,Yes_personal,Yes_severe,1,1,1,1,1,0,0,0,5,0,0,0,1,0,0,Bank_trust,Not_RBI_regulated,No,Yes_open,5.0,Very_comfortable,Self_tutorial,4,Next_day,1-1.5pct,3,5,4,5,4,5,Maybe_future,1L-5L,1500-3000,3,Zoho_QB,1,1,0,1,0,0,,4,Cashflow_timing,Apr-Jun,No_change,Instant_2.5pct,Maybe,0
R0043,P1_TechFounder,26-35,Tier1,IT/Software,1-3yr,1Cr-5Cr,Owner alone,1-3months,UPI,>25L,Frequently,Yes_personal,No_stable,1,0,1,1,1,1,0,0,5,1,1,0,1,0,0,NA,CA_wont_approve,No,Yes_open,4.0,Comfortable,Self_tutorial,4,Lowest_fee,2-2.5pct,3,2,3,3,3,4,No_domestic,5L-15L,1500-3000,5,Zoho_QB,0,1,0,1,1,0,1-5,3,High_bank_charges,Consistent,Yes_slightly,Instant_2.5pct,Probably_yes,3
R0044,P1_TechFounder,46-55,Tier1,IT/Software,1-3yr,25L-1Cr,Owner alone,2-4weeks,UPI,>25L,Never,Yes_corporate,Yes_manageable,1,1,1,1,1,1,0,1,7,1,0,0,1,0,0,All_in_one,Hidden_charges,Prefer_not_say,Yes_open,1.0,Comfortable,Phone_agent,3,Same_day,<1pct,5,3,2,4,4,3,Not_applicable,>15L,Nothing,5,Excel,0,1,1,1,1,0,1-5,4,High_bank_charges,Jul-Sep,Yes_significant,Classic_1pct,No_only_situational,3
R0045,P1_TechFounder,56+,Metro,Other SME,<1yr,1Cr-5Cr,Owner alone,<1week,NEFT/RTGS,5L-25L,Sometimes,Yes_personal,Yes_manageable,1,1,1,1,1,1,0,1,7,1,0,0,1,1,1,Bank_trust,Hidden_charges,Yes_minor,No_exp,4.0,Very_comfortable,WhatsApp_chat,5,Next_day,1.5-2pct,4,5,2,5,2,3,Yes_intl_vendors,>15L,>3000,5,CA_manages,1,0,1,0,0,0,20+,4,Manual_reconciliation,Jul-Sep,No_change,Instant_2.5pct,Probably_yes,3
R0046,P1_TechFounder,46-55,Tier1,Consulting,7+yr,>5Cr,Owner alone,>3months,Cash,1L-5L,Rarely,Yes_personal,Yes_manageable,1,1,1,1,0,1,1,1,7,1,0,0,1,0,0,All_in_one,CA_wont_approve,Yes_minor,No_bad_exp,1.0,Very_comfortable,WhatsApp_chat,3,Same_day,2-2.5pct,3,3,4,4,4,4,Maybe_future,>15L,500-1500,4,Zoho_QB,0,1,1,0,1,0,,2,Cashflow_timing,Jan-Mar,No_change,Instant_2.5pct,No_only_situational,2
R0047,P1_TechFounder,26-35,Metro,IT/Software,3-7yr,25L-1Cr,Owner alone,1-3months,Mixed,>25L,Rarely,Yes_personal,Ongoing,1,1,1,1,1,0,1,1,7,1,0,0,1,0,0,Better_integration,Platform_shutdown,No,No_bad_exp,2.0,Comfortable,WhatsApp_chat,4,Next_day,1-1.5pct,4,4,3,4,3,3,Yes_intl_vendors,<1L,1500-3000,5,Zoho_QB,0,1,0,1,1,0,6-20,5,Cashflow_timing,Apr-Jun,Decreases,Classic_1pct,No_only_situational,3
R0048,P1_TechFounder,26-35,Metro,IT/Software,<1yr,1Cr-5Cr,With CA,<1week,Cash,5L-25L,Frequently,Yes_corporate,Yes_manageable,1,1,0,0,1,1,0,0,4,0,0,0,0,0,0,Better_support,CA_wont_approve,No,No_bad_exp,5.0,Very_comfortable,Self_tutorial,4,Lowest_fee,>2.5pct,5,5,4,4,2,4,Yes_intl_vendors,>15L,1500-3000,3,Tally,0,1,0,0,1,0,6-20,5,Card_not_accepted,No_pattern,Yes_significant,Instant_2.5pct,Maybe,3
